	X	Y	method	alternative	n	r	CI95%	p-unc	BF10	power
0	total_breaks	total_submit	pearson	two-sided	47	0.8108023148405237	[0.68 0.89]	4.920577846666648e-12	1.947e+09	0.9999999884487327
1	total_breaks	total_snapshot	pearson	two-sided	47	0.4300547847449145	[0.16 0.64]	0.002552370711377852	15.021	0.8684800777096207
2	total_breaks	total_view	pearson	two-sided	47	0.3216718289432923	[0.04 0.56]	0.02746423809225053	1.922	0.6074425052425593
3	total_breaks	total_manipulate	pearson	two-sided	47	0.7526082192511032	[0.59 0.85]	1.0558741826085048e-09	1.22e+07	0.9999977301983699
4	total_breaks	n_puzzle	pearson	two-sided	47	0.6358789201655113	[0.43 0.78]	1.5640852483068343e-06	1.3e+04	0.9989155683904334
5	total_breaks	p_puz_no_basic	pearson	two-sided	47	0.6225365470111373	[0.41 0.77]	2.980133206070593e-06	7139.231	0.9982419566419498
6	total_breaks	n_complete	pearson	two-sided	47	0.4809240277424346	[0.22 0.67]	0.0006220373836189382	53.11	0.9392972082481703
7	total_breaks	n_tutorial	pearson	two-sided	47	0.4889961206361058	[0.23 0.68]	0.000487036714059793	66.235	0.9473294140859779
8	total_breaks	complete_active	pearson	two-sided	47	0.7864133953928704	[0.64 0.88]	5.711460670649185e-11	1.915e+08	0.9999998612551481
9	total_breaks	incomplete_active	pearson	two-sided	47	0.744925271501968	[0.58 0.85]	1.921643509425446e-09	6.939e+06	0.9999960606443271
10	total_breaks	tutorial_atime_comp	pearson	two-sided	47	0.7308721536358387	[0.56 0.84]	5.449820969193168e-09	2.601e+06	0.9999899037050118
11	total_breaks	cumu_a_time	pearson	two-sided	47	0.19567962618794357	[-0.1   0.46]	0.18744566521159095	0.422	0.26361313179263474
12	total_breaks	persistence_score	pearson	two-sided	47	0.11189506040541557	[-0.18  0.39]	0.4539695585237263	0.239	0.11655370595144444
13	total_breaks	non_per	pearson	two-sided	47	0.28102634786785885	[-0.01  0.53]	0.055684069619059036	1.074	0.48931417756586887
14	total_breaks	productive	pearson	two-sided	47	0.25547111830495933	[-0.03  0.51]	0.08306915321908902	0.781	0.41638005131502653
15	total_breaks	unproductive	pearson	two-sided	47	0.020098347799986763	[-0.27  0.31]	0.8933310110821882	0.183	0.051741151791915796
16	total_breaks	rapid	pearson	two-sided	47	-0.2537799645456946	[-0.5   0.04]	0.0851993848353322	0.765	0.41166387245098524
17	total_breaks	no_beh	pearson	two-sided	47	-0.2755399145618174	[-0.52  0.01]	0.06084650949718695	1.0	0.47344599461464015
18	total_breaks	avg_revisit	pearson	two-sided	47	0.5250337931751604	[0.28 0.71]	0.00015127569284016114	191.505	0.9740500514155163
19	total_breaks	n_attempt	pearson	two-sided	47	0.5704162032654454	[0.34 0.74]	2.8390557224251368e-05	887.503	0.9912864419895212
20	total_breaks	n_failed_att	pearson	two-sided	47	0.5291605550602403	[0.29 0.71]	0.00013119661628141027	218.078	0.9762696629557808
21	total_breaks	revisits	pearson	two-sided	47	0.43935607428201057	[0.17 0.65]	0.0020032171011547272	18.626	0.8841478212765674
22	total_breaks	diff_event1	pearson	two-sided	47	0.5010867323303632	[0.25 0.69]	0.00033375973047505836	93.251	0.9578805445678213
23	total_breaks	different_event	pearson	two-sided	47	0.6437094248326812	[0.44 0.79]	1.0559888686896745e-06	1.874e+04	0.9991963642064926
24	total_breaks	comp_average	pearson	two-sided	47	0.36727745052521976	[0.09 0.59]	0.011098921161267603	4.151	0.7321303107317487
